time	V(out)	V(out2)	V(n001)
3.320000000000001e-08	-1.923610772374437e-03	-1.930394545596193e-03	1.347044562822581e-02
3.340000000000001e-08	-1.324744699828002e-03	-1.328014396221622e-03	1.048669643230519e-02
3.360000000000000e-08	-2.803026546299525e-04	-2.803984081901635e-04	4.920510477433518e-03
3.380000000000000e-08	9.340999778358764e-04	9.349792096212230e-04	-1.941464838598845e-03
3.400000000000001e-08	2.009733163927448e-03	2.010621173849586e-03	-8.322330514377403e-03
3.420000000000001e-08	2.653201843178468e-03	2.652213107004789e-03	-1.271305867976784e-02
3.440000000000000e-08	2.691051712356454e-03	2.688258836911460e-03	-1.394286161605062e-02
3.460000000000001e-08	2.080794759444381e-03	2.075890861672135e-03	-1.176056406494643e-02
3.480000000000001e-08	9.550553494955343e-04	9.497483490349282e-04	-6.607934907985620e-03
3.500000000000001e-08	-4.391655554907143e-04	-4.437997421820650e-04	1.820330661757993e-04
3.520000000000000e-08	-1.767449203207688e-03	-1.769027959885872e-03	6.996891429186082e-03
3.540000000000001e-08	-2.727853964807897e-03	-2.725476343770938e-03	1.208607012705871e-02
3.560000000000001e-08	-3.085331467632731e-03	-3.077753784682906e-03	1.423963142107827e-02
3.580000000000000e-08	-2.766963193902725e-03	-2.755058202340498e-03	1.283212795057741e-02
3.600000000000000e-08	-1.849185555641761e-03	-1.833772585313194e-03	8.267985341533921e-03
3.620000000000001e-08	-5.684376751078008e-04	-5.520988573915352e-04	1.591235480942987e-03
3.640000000000001e-08	7.686338419223377e-04	7.840647906150141e-04	-5.492412873581231e-03
3.660000000000000e-08	1.825280471750162e-03	1.837218486752250e-03	-1.129279695696115e-02
3.680000000000001e-08	2.352456660385622e-03	2.359961354720219e-03	-1.429381166057132e-02
3.700000000000001e-08	2.218648857308014e-03	2.220789854401969e-03	-1.380256496271304e-02
3.720000000000001e-08	1.473370212348511e-03	1.471154775741884e-03	-9.848101888034451e-03
3.740000000000000e-08	3.049971182850008e-04	2.993989537404179e-04	-3.456220956096406e-03
3.760000000000001e-08	-9.744563160028739e-04	-9.810925029455735e-04	3.869124909143705e-03
3.780000000000001e-08	-2.037523675015402e-03	-2.043681729940986e-03	1.024507813980706e-02
3.800000000000001e-08	-2.593798247623842e-03	-2.597626598147600e-03	1.415143906177586e-02
3.820000000000000e-08	-2.492364835887888e-03	-2.493657489198576e-03	1.453692232731359e-02
3.840000000000001e-08	-1.731071065303143e-03	-1.729856229745510e-03	1.135050490718286e-02
3.860000000000001e-08	-4.887145199712200e-04	-4.866166409409275e-04	5.297435081310992e-03
3.880000000000000e-08	9.505022991822813e-04	9.520976881532495e-04	-2.082686566312581e-03
3.900000000000001e-08	2.230724439668854e-03	2.229747598779599e-03	-9.025064560307772e-03
3.920000000000001e-08	3.046602248182059e-03	3.042132058634359e-03	-1.374006249097956e-02
3.940000000000001e-08	3.187992892455239e-03	3.179292901074174e-03	-1.510858098220442e-02
3.960000000000000e-08	2.621507739317107e-03	2.609450030740614e-03	-1.270074528569930e-02
3.980000000000001e-08	1.473696398798719e-03	1.459490302464209e-03	-7.160656763133158e-03
4.000000000000001e-08	2.497707774055884e-05	1.103545524769851e-05	2.277602474667396e-04
4.020000000000001e-08	-1.383813298303049e-03	-1.395438303570789e-03	7.581790426477176e-03
4.040000000000000e-08	-2.402750671783235e-03	-2.409849664081489e-03	1.311677931660440e-02
4.060000000000001e-08	-2.800804081636830e-03	-2.802471906251189e-03	1.540971892081804e-02
4.080000000000001e-08	-2.482980158630782e-03	-2.478973566475908e-03	1.393666688623798e-02
4.100000000000001e-08	-1.541854188658185e-03	-1.533486476771261e-03	8.959216728850078e-03
4.120000000000000e-08	-2.135809244984720e-04	-2.025731629152786e-04	1.747581426530470e-03
4.140000000000001e-08	1.152524802428990e-03	1.163714153227840e-03	-5.977740926113923e-03
4.160000000000001e-08	2.211726483185246e-03	2.221195081707473e-03	-1.224130952941376e-02
4.180000000000000e-08	2.680816977772293e-03	2.686983029218986e-03	-1.553819333391974e-02
4.200000000000001e-08	2.436811941601883e-03	2.439358673057898e-03	-1.496780562967686e-02
4.220000000000001e-08	1.522893485881243e-03	1.522256137728895e-03	-1.070905640742584e-02
4.240000000000001e-08	1.637576167006181e-04	1.614921055774572e-04	-3.733229523912701e-03
4.260000000000000e-08	-1.316656534270365e-03	-1.318745785833302e-03	4.199071505664130e-03
4.280000000000001e-08	-2.540103887854871e-03	-2.540043380255412e-03	1.116424291277932e-02
4.300000000000001e-08	-3.206092816662936e-03	-3.202665854814985e-03	1.537896390386047e-02
4.320000000000001e-08	-3.133113085431519e-03	-3.125917165279910e-03	1.583844886405322e-02
4.340000000000000e-08	-2.332528288758333e-03	-2.322411478780648e-03	1.234334638387496e-02
4.360000000000001e-08	-9.811351470011412e-04	-9.697876485239668e-04	5.787570323576700e-03
4.380000000000001e-08	5.930181432144605e-04	6.033027419931725e-04	-2.276326057614947e-03
4.400000000000001e-08	2.018922521211271e-03	2.025934748360124e-03	-9.801289580326273e-03
4.420000000000001e-08	2.948390179706025e-03	2.950448462297924e-03	-1.498003813701106e-02
4.440000000000001e-08	3.163690603833211e-03	3.160066184189713e-03	-1.644623436802693e-02
4.460000000000001e-08	2.610356113140610e-03	2.601483932571657e-03	-1.386049345578529e-02
4.480000000000000e-08	1.438933469598538e-03	1.426274179908642e-03	-7.791528190362973e-03
4.500000000000001e-08	-6.393872524275203e-05	-7.809315744319851e-05	2.346329855018930e-04
4.520000000000001e-08	-1.514561024654250e-03	-1.527758288704003e-03	8.294932136846019e-03
4.540000000000001e-08	-2.550535962824856e-03	-2.560517312376776e-03	1.431736071989913e-02
